Neighbourhood ID,Neighbourhood,Latitude,Longitude
81,Trinity-Bellwoods,43.65010071,-79.41549683
1,West Humber-Clairville,43.71609879,-79.5963974
2,Mount Olive-Silverstone-Jamestown,43.74679947,-79.58750153
21,Humber Summit,43.75889969,-79.55639648
3,Thistletown-Beaumond Heights,43.73559952,-79.55560303
22,Humbermede,43.74359894,-79.53690338
4,Rexdale-Kipling,43.72370148,-79.56639862
5,Elms-Old Rexdale,43.72140121,-79.54910278
23,Pelmo Park-Humberlea,43.72119904,-79.53549957
26,Downsview-Roding-CFB,43.7397995,-79.47200012
6,Kingsview Village-The Westway,43.69900131,-79.54799652
113,Weston,43.70270157,-79.51580048
28,Rustic,43.71149826,-79.49819946
8,Humber Heights-Westmount,43.69219971,-79.52259827
30,Brookhaven-Amesbury,43.70119858,-79.4858017
115,Mount Dennis,43.68809891,-79.50009918
7,Willowridge-Martingrove-Richview,43.68360138,-79.56490326
10,Princess-Rosethorn,43.66600037,-79.5447998
11,Eringate-Centennial-West Deane,43.65800095,-79.58059692
9,Edenbridge-Humber Valley,43.67079926,-79.52259827
111,Rockcliffe-Smythe,43.67480087,-79.49459839
12,Markland Wood,43.63359833,-79.57360077
13,Etobicoke West Mall,43.64500046,-79.56919861
14,Islington-City Centre West,43.63430023,-79.54060364
20,Alderwood,43.60490036,-79.54170227
19,Long Branch,43.59230042,-79.53350067
18,New Toronto,43.6006012,-79.51049805
17,Mimico,43.61349869,-79.51529694
16,Stonegate-Queensway,43.63539886,-79.501297
15,Kingsway South,43.6534996,-79.51069641
114,Lambton Baby Point,43.65739822,-79.49620056
87,High Park-Swansea,43.64500046,-79.4681015
89,Runnymede-Bloor West Village,43.65919876,-79.4858017
88,High Park North,43.65750122,-79.46649933
90,Junction Area,43.66790009,-79.47160339
86,Roncesvalles,43.64609909,-79.44319916
85,South Parkdale,43.63600159,-79.43340302
83,Dufferin Grove,43.65539932,-79.4375
84,Little Portugal,43.64749908,-79.43049622
93,Dovercourt-Wallace Emerson-Juncti,43.66559982,-79.43869781
82,Niagara,43.63700104,-79.41259766
91,Weston-Pelham Park,43.67399979,-79.46050262
80,Palmerston-Little Italy,43.65909958,-79.41860199
79,University,43.66239929,-79.40139771
78,Kensington-Chinatown,43.6534996,-79.39749908
77,Waterfront Communities-The Island,43.64360046,-79.39009857
95,Annex,43.67160034,-79.40419769
94,Wychwood,43.67689896,-79.42569733
