,Neighborhood,Hood #,Brazil,Argentinian,Brazilian,Chilean,Paraguayan,Uruguayan,Total income: Average amount ($),Total migrantes sudamericanos
0,Agincourt North,129,10,0,0,20,0,0,30414,30.0
1,Agincourt South-Malvern West,128,30,0,15,0,0,0,31825,45.0
2,Alderwood,20,45,20,30,25,0,0,47709,120.0
3,Annex,95,80,65,45,50,0,10,112766,240.0
4,Banbury-Don Mills,42,40,45,30,20,0,0,67757,135.0
5,Bathurst Manor,34,40,25,35,40,0,0,45936,140.0
6,Bay Street Corridor,76,105,30,90,50,0,0,56526,275.0
7,Bayview Village,52,125,30,55,30,0,0,52035,240.0
8,Bayview Woods-Steeles,49,0,10,0,25,0,0,47246,35.0
9,Bedford Park-Nortown,39,20,25,65,10,0,0,123077,120.0
10,Beechborough-Greenbrook,112,90,0,95,0,0,10,33829,185.0
11,Bendale,127,40,0,40,50,0,10,33256,130.0
12,Birchcliffe-Cliffside,122,10,0,10,25,0,0,54360,45.0
13,Black Creek,24,10,50,40,110,0,0,25989,210.0
14,Blake-Jones,69,0,0,20,0,0,0,48511,20.0
15,Briar Hill-Belgravia,108,185,85,200,45,0,20,34768,515.0
16,Bridle Path-Sunnybrook-York Mills,41,20,10,35,0,0,0,308010,65.0
17,Broadview North,57,15,0,20,40,0,10,44557,75.0
18,Brookhaven-Amesbury,30,250,65,200,50,0,65,32483,565.0
19,Cabbagetown-South St. James Town,71,45,30,55,35,0,0,63012,165.0
20,Caledonia-Fairbank,109,105,10,140,65,0,10,35112,320.0
21,Casa Loma,96,50,0,35,10,0,0,165047,95.0
22,Centennial Scarborough,133,10,0,10,25,0,0,54045,45.0
23,Church-Yonge Corridor,75,155,35,140,25,10,0,53583,365.0
24,Clairlea-Birchmount,120,30,0,15,25,0,10,36232,70.0
25,Clanton Park,33,10,20,25,0,10,0,51181,65.0
26,Cliffcrest,123,20,10,20,20,0,0,44718,70.0
27,Corso Italia-Davenport,92,205,45,180,220,15,20,41717,665.0
28,Danforth,66,10,25,0,20,0,0,55225,55.0
29,Danforth East York,59,50,10,45,45,0,0,51846,150.0
30,Don Valley Village,47,90,10,45,55,10,25,37379,210.0
31,Dorset Park,126,40,0,10,10,10,0,31692,70.0
32,Dovercourt-Wallace Emerson-Junction,93,385,75,405,120,0,10,39740,985.0
33,Downsview-Roding-CFB,26,85,245,135,310,30,65,34168,805.0
34,Dufferin Grove,83,160,10,160,60,0,10,40588,390.0
35,East End-Danforth,62,95,35,65,15,0,0,54324,210.0
36,Edenbridge-Humber Valley,9,100,20,60,55,0,0,101551,235.0
37,Eglinton East,138,0,0,0,35,0,0,30033,35.0
38,Elms-Old Rexdale,5,20,75,35,95,0,25,32012,225.0
39,Englemount-Lawrence,32,60,40,40,35,0,25,48134,175.0
40,Eringate-Centennial-West Deane,11,100,40,80,85,0,40,47002,305.0
41,Etobicoke West Mall,13,35,25,25,30,0,30,38255,115.0
42,Flemingdon Park,44,30,0,20,10,0,0,28654,60.0
43,Forest Hill North,102,50,25,25,15,0,15,85099,115.0
44,Forest Hill South,101,70,0,0,25,0,0,204521,95.0
45,Glenfield-Jane Heights,25,0,195,35,225,0,50,27984,455.0
46,Greenwood-Coxwell,65,20,30,10,60,10,10,46206,130.0
47,Guildwood,140,10,15,0,0,0,0,53203,25.0
48,Henry Farm,53,115,15,55,0,0,0,36359,185.0
49,High Park North,88,90,30,90,105,0,10,57465,315.0
50,High Park-Swansea,87,35,40,45,55,0,20,71204,175.0
51,Highland Creek,134,20,0,10,0,0,0,40972,30.0
52,Hillcrest Village,48,10,0,10,10,0,10,40442,30.0
53,Humber Heights-Westmount,8,80,10,70,65,10,0,45615,235.0
54,Humber Summit,21,0,60,15,35,0,0,30731,110.0
55,Humbermede,22,45,135,50,75,10,35,29528,315.0
56,Humewood-Cedarvale,106,35,95,55,60,0,10,65274,245.0
57,Ionview,125,0,30,10,20,0,0,31383,60.0
58,Islington-City Centre West,14,230,125,230,105,45,10,52787,735.0
59,Junction Area,90,70,50,80,20,0,25,49709,220.0
60,Keelesdale-Eglinton West,110,225,55,230,55,0,0,33316,565.0
61,Kennedy Park,124,20,0,15,0,0,0,30974,35.0
62,Kensington-Chinatown,78,50,15,65,10,0,0,37422,140.0
63,Kingsview Village-The Westway,6,120,65,85,100,0,25,36674,370.0
64,Kingsway South,15,10,10,10,0,0,0,144642,30.0
65,Lambton Baby Point,114,25,10,15,40,0,0,76629,90.0
66,L'Amoreaux,117,35,0,40,45,0,10,31826,120.0
67,Lansing-Westgate,38,75,20,35,10,0,10,72371,140.0
68,Lawrence Park North,105,0,25,10,10,0,15,111730,45.0
69,Lawrence Park South,103,35,0,20,30,0,25,169203,85.0
70,Leaside-Bennington,56,125,30,80,10,0,0,125564,245.0
71,Little Portugal,84,105,45,125,25,0,10,45737,300.0
72,Long Branch,19,20,0,40,50,0,20,47384,110.0
73,Malvern,132,0,25,10,0,0,0,29573,35.0
74,Maple Leaf,29,40,55,55,130,0,0,37108,280.0
75,Markland Wood,12,70,25,30,15,0,0,62378,140.0
76,Milliken,130,0,0,0,0,0,0,28085,0.0
77,Mimico (includes Humber Bay Shores),17,195,80,150,95,10,35,54438,530.0
78,Morningside,135,10,0,0,25,0,0,32291,35.0
79,Moss Park,73,75,10,50,15,0,0,58915,150.0
80,Mount Dennis,115,300,25,200,45,0,10,30827,570.0
81,Mount Olive-Silverstone-Jamestown,2,20,40,20,65,0,0,26548,145.0
82,Mount Pleasant East,99,45,30,35,20,0,0,85340,130.0
83,Mount Pleasant West,104,185,35,160,45,0,0,57039,425.0
84,New Toronto,18,45,25,35,35,0,10,44101,140.0
85,Newtonbrook East,50,30,0,20,0,0,10,45212,50.0
86,Newtonbrook West,36,75,35,50,20,0,0,34904,180.0
87,Niagara,82,110,50,160,130,0,0,70623,450.0
88,North Riverdale,68,10,15,20,25,0,0,73253,70.0
89,North St. James Town,74,100,25,105,20,0,0,32648,250.0
90,Oakridge,121,0,10,25,15,0,0,26793,50.0
91,Oakwood Village,107,125,45,155,60,10,10,39803,395.0
92,O'Connor-Parkview,54,15,0,45,40,0,15,43907,100.0
93,Old East York,58,0,10,20,0,0,0,53315,30.0
94,Palmerston-Little Italy,80,70,25,95,60,0,0,58071,250.0
95,Parkwoods-Donalda,45,55,35,70,40,0,30,42516,200.0
96,Pelmo Park-Humberlea,23,40,80,50,15,0,15,39003,185.0
97,Playter Estates-Danforth,67,20,0,10,25,0,0,70831,55.0
98,Pleasant View,46,0,15,0,0,0,10,36346,15.0
99,Princess-Rosethorn,10,20,15,35,15,0,10,99055,85.0
100,Regent Park,72,25,0,10,45,0,0,34597,80.0
101,Rexdale-Kipling,4,0,60,0,110,0,25,34418,170.0
102,Rockcliffe-Smythe,111,320,75,300,60,0,10,34059,755.0
103,Roncesvalles,86,25,45,35,20,0,25,50580,125.0
104,Rosedale-Moore Park,98,115,30,70,10,0,0,207903,225.0
105,Rouge,131,25,20,10,10,0,0,39556,65.0
106,Runnymede-Bloor West Village,89,10,0,40,25,0,15,71888,75.0
107,Rustic,28,0,45,0,0,0,20,31800,45.0
108,Scarborough Village,139,0,25,0,35,0,0,32913,60.0
109,South Parkdale,85,90,60,80,85,0,0,35207,315.0
110,South Riverdale,70,80,20,45,80,0,10,53803,225.0
111,St.Andrew-Windfields,40,30,30,15,0,0,0,100516,75.0
112,Steeles,116,10,0,0,0,0,10,31786,10.0
113,Stonegate-Queensway,16,105,20,125,45,0,20,64140,295.0
114,Tam O'Shanter-Sullivan,118,0,10,20,35,0,10,34200,65.0
115,Taylor-Massey,61,55,10,85,15,0,0,30430,165.0
116,The Beaches,63,10,10,30,35,0,10,92580,85.0
117,Thistletown-Beaumond Heights,3,0,10,0,65,0,15,32815,75.0
118,Thorncliffe Park,55,25,0,35,10,0,10,28875,70.0
119,Trinity-Bellwoods,81,65,0,95,45,0,10,50694,205.0
120,University,79,35,10,30,0,0,0,50757,75.0
121,Victoria Village,43,0,25,20,0,0,0,35786,45.0
122,Waterfront Communities-The Island,77,300,95,240,110,0,20,70600,745.0
123,West Hill,136,20,10,25,0,0,0,33323,55.0
124,West Humber-Clairville,1,20,55,15,130,0,20,31771,220.0
125,Westminster-Branson,35,10,45,0,0,0,30,32724,55.0
126,Weston,113,210,45,145,100,0,25,32997,500.0
127,Weston-Pelham Park,91,115,10,195,60,0,10,33528,380.0
128,Wexford/Maryvale,119,20,60,30,10,0,10,35047,120.0
129,Willowdale East,51,140,15,125,50,0,20,45326,330.0
130,Willowdale West,37,75,15,85,0,0,10,44576,175.0
131,Willowridge-Martingrove-Richview,7,170,25,75,205,0,0,44177,475.0
132,Woburn,137,45,0,25,20,0,0,30878,90.0
133,Woodbine Corridor,64,30,10,25,0,0,0,55199,65.0
134,Woodbine-Lumsden,60,25,0,10,20,0,0,47710,55.0
135,Wychwood,94,75,35,85,110,0,0,54460,305.0
136,Yonge-Eglinton,100,70,20,95,20,0,30,89330,205.0
137,Yonge-St.Clair,97,25,25,40,0,0,0,114174,90.0
138,York University Heights,27,40,190,20,30,0,65,29958,280.0
139,Yorkdale-Glen Park,31,120,20,145,10,0,35,38527,295.0
