,Hood #,Neighborhood,Latitude,Longitude
0,1,West Humber-Clairville,43.7225629,-79.59703850234453
1,4,Rexdale-Kipling,43.722114149999996,-79.57229244708017
2,5,Elms-Old Rexdale,43.72176985,-79.55217331972301
3,8,Humber Heights-Westmount,43.6977767,-79.5212217
4,9,Edenbridge-Humber Valley,43.6700149,-79.5219478
5,12,Markland Wood,43.63123865,-79.58543401986114
6,13,Etobicoke West Mall,43.6435491,-79.56532534553605
7,14,Islington-City Centre West,43.6487953,-79.5490002
8,15,Kingsway South,43.6473811,-79.5113328
9,16,Stonegate-Queensway,43.62195,-79.5234993
10,18,New Toronto,43.6007625,-79.505264
11,19,Long Branch,43.59200455,-79.54536450659592
12,20,Alderwood,43.6017173,-79.5452325
13,21,Humber Summit,43.7600778,-79.5717598
14,24,Black Creek,43.6954005,-79.485495
15,25,Glenfield-Jane Heights,43.7243728,-79.4583982
16,27,York University Heights,43.7587808,-79.5194336
17,28,Rustic,43.71336615,-79.50450373904313
18,29,Maple Leaf,43.7122767,-79.4901977
19,31,Yorkdale-Glen Park,43.703434,-79.45291835752212
20,32,Englemount-Lawrence,43.710813,-79.4356957
21,33,Clanton Park,43.74576315,-79.43817473462119
22,34,Bathurst Manor,43.76389295,-79.45636693710946
23,36,Newtonbrook West,43.795986,-79.4130896
24,37,Willowdale West,43.7615095,-79.4109234
25,38,Lansing-Westgate,43.7589503,-79.4225555
26,40,St. Andrew-Windfields,18.0245439,-76.8170719
27,42,Banbury-Don Mills,43.7526832,-79.3652703
28,43,Victoria Village,43.732658,-79.3111892
29,44,Flemingdon Park,43.7184315,-79.333204
30,46,Pleasant View,43.787048,-79.3337137
31,47,Don Valley Village,43.7926732,-79.3547219
32,48,Hillcrest Village,43.6816953,-79.4257118
33,49,Bayview Woods-Steeles,43.7981268,-79.3829726
34,50,Newtonbrook East,43.795986,-79.4130896
35,51,Willowdale East,43.7615095,-79.4109234
36,52,Bayview Village,43.7691966,-79.3766617
37,53,Henry Farm,43.7695089,-79.354296
38,54,O'Connor-Parkview,43.7023902,-79.3160976
39,55,Thorncliffe Park,43.704553,-79.3454074
40,56,Leaside Bennington,43.7014812,-79.3731559
41,57,Broadview North,43.6839216,-79.3569421
42,58,Old East York,43.718796350000005,-79.37166616722675
43,59,Danforth - East York,43.6881713,-79.3018156
44,62,East End-Danforth,43.6684402,-79.33067
45,63,The Beaches,43.6710244,-79.296712
46,66,Danforth,43.6864333,-79.3003555
47,67,Playter Estates-Danforth,43.6786661,-79.3555177
48,68,North Riverdale,43.6654704,-79.3525936
49,70,South Riverdale,43.6654704,-79.3525936
50,71,Cabbagetown-South St. James Town,43.6668467,-79.369179
51,72,Regent Park,43.6607056,-79.3604569
52,73,Moss Park,43.6546438,-79.3697278
53,74,North St. James Town,43.6708625,-79.37279241253721
54,75,Church-Yonge Corridor,43.6707855,-79.3856867
55,76,Bay Street Corridor,43.6721349,-79.3904992
56,79,University,43.663461999999996,-79.39775965337452
57,80,Palmerston-Little Italy,43.655527,-79.4099852
58,81,Trinity-Bellwoods,43.64756465,-79.41388090266673
59,82,Niagara,43.6440753,-79.4086982
60,83,Dufferin Grove,43.6536319,-79.4264389
61,84,Little Portugal,43.64741325,-79.43111632546047
62,85,South Parkdale,43.638093,-79.4665843
63,86,Roncesvalles,43.6514426,-79.4510381
64,87,High Park-Swansea,43.638093,-79.4665843
65,88,High Park North,43.6573833,-79.470961
66,89,Runnymede-Bloor West Village,43.6517776,-79.4759227
67,90,Junction Area,43.6654775,-79.470352
68,92,Corso Italia-Davenport,43.677954,-79.4430828
69,94,Wychwood,43.68217105,-79.423113155788
70,95,Annex,43.6703377,-79.407117
71,96,Casa Loma,43.6781015,-79.409415775
72,97,Yonge-St.Clair,43.6880777,-79.3943963721967
73,98,Rosedale-Moore Park,43.6869541,-79.3812804
74,99,Mount Pleasant East,43.7084166,-79.3901348
75,100,Yonge-Eglinton,43.7067479,-79.3983271
76,101,Forest Hill South,43.6935586,-79.4139023
77,102,Forest Hill North,43.6935586,-79.4139023
78,103,Lawrence Park South,43.729199,-79.4032525
79,104,Mount Pleasant West,43.7084166,-79.3901348
80,105,Lawrence Park North,43.729199,-79.4032525
81,106,Humewood-Cedarvale,43.6883215,-79.4280805
82,107,Oakwood Village,43.6827255,-79.4380548
83,110,Keelesdale-Eglinton West,43.6901578,-79.4749985
84,113,Weston,43.7001608,-79.5162474
85,115,Mount Dennis,43.6869597,-79.4895513
86,116,Steeles,43.8161778,-79.3145378
87,117,L'Amoreaux,43.799003,-79.3059669
88,118,Tam O'Shanter-Sullivan,43.7798835,-79.30553811573397
89,121,Oakridge,43.6971738,-79.2748232
90,123,Cliffcrest,43.7218363,-79.2362138
91,124,Kennedy Park,43.724878,-79.2539688
92,125,Ionview,43.7359904,-79.2765146
93,126,Dorset Park,43.7528467,-79.282067
94,127,Bendale,43.7535196,-79.2553355
95,128,Agincourt South-Malvern West,43.781969000000004,-79.25768943954708
96,129,Agincourt North,43.8080383,-79.2664391
97,130,Milliken,43.8231743,-79.3017626
98,131,Rouge,43.8049304,-79.1658374
99,132,Malvern,43.8091955,-79.2217008
100,133,Centennial Scarborough,43.7874914,-79.1507681
101,134,Highland Creek,43.7901172,-79.1733344
102,135,Morningside,43.7826012,-79.2049579
103,136,West Hill,43.7689144,-79.1872905
104,137,Woburn,43.7598243,-79.2252908
105,138,Eglinton East,43.7394646,-79.2320997
106,139,Scarborough Village,43.7437422,-79.2116324
107,140,Guildwood,43.7552251,-79.1982293
108,2,Mount Olive-Silverstone-Jamestown,43.749750899999995,-79.59911593109416
109,3,Thistletown-Beaumond Heights,43.7372656,-79.5653169
110,6,Kingsview Village-The Westway,43.6834375,-79.5665145
