,PostalCode,Borough,Neighborhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,Regent Park
3,M5A,Downtown Toronto, Harbourfront
4,M6A,North York,Lawrence Manor
5,M6A,North York, Lawrence Heights
6,M7A,Queen's Park,Ontario Provincial Government
7,M9A,Etobicoke,Islington Avenue
8,M1B,Scarborough,Malvern
9,M1B,Scarborough, Rouge
10,M3B,North York,Don Mills
11,M3B,North York, North
12,M4B,East York,Parkview Hill
13,M4B,East York, Woodbine Gardens
14,M5B,Downtown Toronto,Garden District
15,M5B,Downtown Toronto, Ryerson
16,M6B,North York,Glencairn
17,M9B,Etobicoke,West Deane Park
18,M9B,Etobicoke, Princess Gardens
19,M9B,Etobicoke, Martin Grove
20,M9B,Etobicoke, Islington
21,M9B,Etobicoke, Cloverdale
22,M1C,Scarborough,Rouge Hill
23,M1C,Scarborough, Port Union
24,M1C,Scarborough, Highland Creek
25,M3C,North York,Don Mills
26,M3C,North York, South
27,M3C,North York, Flemingdon Park
28,M4C,East York,Woodbine Heights
29,M5C,Downtown Toronto,St. James Town
30,M6C,York,Humewood-Cedarvale
31,M9C,Etobicoke,Eringate
32,M9C,Etobicoke, Bloordale Gardens
33,M9C,Etobicoke, Old Burnhamthorpe
34,M9C,Etobicoke, Markland Wood
35,M1E,Scarborough,Guildwood
36,M1E,Scarborough, Morningside
37,M1E,Scarborough, West Hill
38,M4E,East Toronto,The Beaches
39,M5E,Downtown Toronto,Berczy Park
40,M6E,York,Caledonia-Fairbanks
41,M1G,Scarborough,Woburn
42,M4G,East York,Leaside
43,M5G,Downtown Toronto,Central Bay Street
44,M6G,Downtown Toronto,Christie
45,M1H,Scarborough,Cedarbrae
46,M2H,North York,Hillcrest Village
47,M3H,North York,Bathurst Manor
48,M3H,North York, Wilson Heights
49,M3H,North York, Downsview North
50,M4H,East York,Thorncliffe Park
51,M5H,Downtown Toronto,Richmond
52,M5H,Downtown Toronto, Adelaide
53,M5H,Downtown Toronto, King
54,M6H,West Toronto,Dufferin
55,M6H,West Toronto, Dovercourt Village
56,M1J,Scarborough,Scarborough Village
57,M2J,North York,Fairview
58,M2J,North York, Henry Farm
59,M2J,North York, Oriole
60,M3J,North York,Northwood Park
61,M3J,North York, York University
62,M4J,"East York, East Toronto",The Danforth East
63,M5J,Downtown Toronto,Harbourfront East
64,M5J,Downtown Toronto, Union Station
65,M5J,Downtown Toronto, Toronto Islands
66,M6J,West Toronto,Little Portugal
67,M6J,West Toronto, Trinity
68,M1K,Scarborough,Kennedy Park
69,M1K,Scarborough, Ionview
70,M1K,Scarborough, East Birchmount Park
71,M2K,North York,Bayview Village
72,M3K,North York,Downsview
73,M3K,North York, East
74,M3K,North York, CFB Toronto
75,M4K,East Toronto,The Danforth West
76,M4K,East Toronto, Riverdale
77,M5K,Downtown Toronto,Toronto Dominion Centre
78,M5K,Downtown Toronto, Design Exchange
79,M6K,West Toronto,Brockton
80,M6K,West Toronto, Parkdale Village
81,M6K,West Toronto, Exhibition Place
82,M1L,Scarborough,Golden Mile
83,M1L,Scarborough, Clairlea
84,M1L,Scarborough, Oakridge
85,M2L,North York,York Mills
86,M2L,North York, Silver Hills
87,M3L,North York,Downsview
88,M3L,North York, West
89,M4L,East Toronto,India Bazaar
90,M4L,East Toronto, The Beaches West
91,M5L,Downtown Toronto,Commerce Court
92,M5L,Downtown Toronto, Victoria Hotel
93,M6L,North York,North Park
94,M6L,North York, Maple Leaf Park
95,M6L,North York, Upwood Park
96,M9L,North York,Humber Summit
97,M1M,Scarborough,Cliffside
98,M1M,Scarborough, Cliffcrest
99,M1M,Scarborough, Scarborough Village West
100,M2M,North York,Willowdale
101,M2M,North York, Newtonbrook
102,M3M,North York,Downsview
103,M3M,North York, Central
104,M4M,East Toronto,Studio District
105,M5M,North York,Bedford Park
106,M5M,North York, Lawrence Manor East
107,M6M,York,Del Ray
108,M6M,York, Mount Dennis
109,M6M,York, Keelsdale and Silverthorn
110,M9M,North York,Humberlea
111,M9M,North York, Emery
112,M1N,Scarborough,Birch Cliff
113,M1N,Scarborough, Cliffside West
114,M2N,North York,Willowdale
115,M2N,North York, South
116,M3N,North York,Downsview
117,M3N,North York, Northwest
118,M4N,Central Toronto,Lawrence Park
119,M5N,Central Toronto,Roselawn
120,M6N,York,Runnymede
121,M6N,York, The Junction North
122,M9N,York,Weston
123,M1P,Scarborough,Dorset Park
124,M1P,Scarborough, Wexford Heights
125,M1P,Scarborough, Scarborough Town Centre
126,M2P,North York,York Mills West
127,M4P,Central Toronto,Davisville North
