,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Agincourt North,43.8080383,-79.2664391,Menchie's,43.80833791536094,-79.26828825119229,Frozen Yogurt Shop
1,Agincourt North,43.8080383,-79.2664391,Saravanaa Bhavan South Indian Restaurant,43.81011674776289,-79.26927478027933,Indian Restaurant
2,Agincourt North,43.8080383,-79.2664391,Congee Town 太皇名粥,43.80903482487377,-79.26763433869755,Chinese Restaurant
3,Agincourt North,43.8080383,-79.2664391,Booster Juice,43.80991481104798,-79.26938167887475,Juice Bar
4,Agincourt North,43.8080383,-79.2664391,Shoppers Drug Mart,43.808894,-79.269854,Pharmacy
5,Agincourt North,43.8080383,-79.2664391,Dollarama,43.808894,-79.269854,Discount Store
6,Agincourt North,43.8080383,-79.2664391,Subway,43.80937220230191,-79.2694738316909,Sandwich Place
7,Agincourt North,43.8080383,-79.2664391,Popeyes Louisiana Kitchen,43.80884367796419,-79.26820416552665,Fried Chicken Joint
8,Agincourt North,43.8080383,-79.2664391,The Beer Store,43.8092863,-79.2636758,Beer Store
9,Agincourt North,43.8080383,-79.2664391,RBC Royal Bank,43.80875655318293,-79.26927968859673,Bank
10,Agincourt North,43.8080383,-79.2664391,TD Canada Trust,43.8098283,-79.2687635,Bank
11,Agincourt North,43.8080383,-79.2664391,Pizza Pizza,43.80831774036611,-79.26853687580636,Pizza Place
12,Agincourt North,43.8080383,-79.2664391,Tim Hortons,43.8099935,-79.2690319,Coffee Shop
13,Agincourt North,43.8080383,-79.2664391,Xe Lua Vietnamese Cuisine 火車頭,43.809224039056005,-79.26954724166934,Vietnamese Restaurant
14,Agincourt North,43.8080383,-79.2664391,Le Château,43.808635288928365,-79.26829717339312,Clothing Store
15,Agincourt North,43.8080383,-79.2664391,Fali,43.8079588,-79.26489219999999,Men's Store
16,Agincourt North,43.8080383,-79.2664391,Woodside Cinemas,43.80990026145251,-79.26952068181036,Movie Theater
17,Agincourt North,43.8080383,-79.2664391,Smokers Corner Newstand,43.808624242713506,-79.2694367295796,Convenience Store
18,Agincourt North,43.8080383,-79.2664391,Everbest Bakery,43.80889916631563,-79.26962940679175,Bakery
19,Agincourt North,43.8080383,-79.2664391,Baskin-Robbins,43.80933662736696,-79.26336804150782,Ice Cream Shop
20,Agincourt North,43.8080383,-79.2664391,LCBO,43.808125688695895,-79.27004592050454,Liquor Store
21,Agincourt North,43.8080383,-79.2664391,Viterna Health Centre,43.81001583057128,-79.26898531284488,Spa
22,Agincourt North,43.8080383,-79.2664391,Kin Kin Bubble Tea Co,43.807851553703514,-79.27029551638599,Chinese Restaurant
23,Agincourt North,43.8080383,-79.2664391,Cakewood Bakery & Cafe,43.80986005895067,-79.26953031570356,Bakery
24,Agincourt North,43.8080383,-79.2664391,Taco Bell,43.80995233214358,-79.26945772022009,Restaurant
25,Agincourt North,43.8080383,-79.2664391,SVP Sports Outlet,43.81017619950153,-79.2696127836144,Sporting Goods Shop
26,Agincourt North,43.8080383,-79.2664391,McDonald's,43.808331321150796,-79.26744273262352,Fast Food Restaurant
27,Agincourt South-Malvern West,43.781969,-79.25768943954708,Cora's,43.78341688524566,-79.25310719667152,Breakfast Spot
28,Agincourt South-Malvern West,43.781969,-79.25768943954708,World Gym,43.78457971292356,-79.25532371036591,Gym / Fitness Center
29,Agincourt South-Malvern West,43.781969,-79.25768943954708,National Sports,43.78448378936947,-79.25513821936576,Sporting Goods Shop
30,Agincourt South-Malvern West,43.781969,-79.25768943954708,Faith Family Books & Gifts,43.78332985690461,-79.25315682715052,Bookstore
31,Agincourt South-Malvern West,43.781969,-79.25768943954708,Swiss Chalet,43.77865947644688,-79.25683658173074,Restaurant
32,Agincourt South-Malvern West,43.781969,-79.25768943954708,Starbucks,43.783742,-79.253186,Coffee Shop
33,Agincourt South-Malvern West,43.781969,-79.25768943954708,Teriyaki Experience,43.78353928225575,-79.25311747735508,Japanese Restaurant
34,Agincourt South-Malvern West,43.781969,-79.25768943954708,Milestones,43.77806010908817,-79.25532134026366,Restaurant
35,Agincourt South-Malvern West,43.781969,-79.25768943954708,Hwy 401 at McCowan,43.7802200478184,-79.25516099880329,Intersection
36,Agincourt South-Malvern West,43.781969,-79.25768943954708,Best Buy,43.7787826,-79.2599905,Electronics Store
37,Agincourt South-Malvern West,43.781969,-79.25768943954708,Winners,43.7827428246865,-79.2527666687965,Department Store
38,Agincourt South-Malvern West,43.781969,-79.25768943954708,Mr.Sub,43.7829,-79.252779,Restaurant
39,Agincourt South-Malvern West,43.781969,-79.25768943954708,Freshii,43.78372,-79.25318,Salad Place
40,Alderwood,43.6017173,-79.5452325,Il Paesano Pizzeria & Restaurant,43.60128,-79.545028,Pizza Place
41,Alderwood,43.6017173,-79.5452325,Timothy's Pub,43.60016508568706,-79.54469872722389,Pub
42,Alderwood,43.6017173,-79.5452325,Toronto Gymnastics International,43.59983195234328,-79.54292448822379,Gym
43,Alderwood,43.6017173,-79.5452325,Tim Hortons,43.60239631505536,-79.5450476557017,Coffee Shop
44,Alderwood,43.6017173,-79.5452325,Pizza Pizza,43.60534035117562,-79.54725175609202,Pizza Place
45,Alderwood,43.6017173,-79.5452325,Subway,43.59915224732402,-79.54439458247475,Sandwich Place
46,Alderwood,43.6017173,-79.5452325,Rexall,43.601951,-79.545694,Pharmacy
47,Alderwood,43.6017173,-79.5452325,Sir Adam Beck Rink,43.602526494798546,-79.5474551115246,Skating Rink
48,Annex,43.670337700000005,-79.407117,Jean Sibelius Square,43.67142628683921,-79.40883090368688,Park
49,Annex,43.670337700000005,-79.407117,Roti Cuisine of India,43.67461834990478,-79.40824866273744,Indian Restaurant
50,Annex,43.670337700000005,-79.407117,COBS Bread,43.66622171718618,-79.40606647691668,Bakery
51,Annex,43.670337700000005,-79.407117,Fuwa Fuwa Japanese Pancakes,43.66587984725407,-79.40783968911445,Pastry Shop
52,Annex,43.670337700000005,-79.407117,Fresh on Bloor,43.66675488472059,-79.40349130034014,Vegetarian / Vegan Restaurant
53,Annex,43.670337700000005,-79.407117,The Original Gyro Grill,43.66662059602154,-79.40554379665828,Greek Restaurant
54,Annex,43.670337700000005,-79.407117,Real Thailand Restaurant,43.66655676709821,-79.40465745192407,Thai Restaurant
55,Annex,43.670337700000005,-79.407117,BMV Books,43.66586,-79.406824,Bookstore
56,Annex,43.670337700000005,-79.407117,The Madison Avenue Pub,43.667946944171426,-79.40348638003233,Pub
57,Annex,43.670337700000005,-79.407117,Napoli Centrale,43.669391,-79.413028,Pizza Place
58,Annex,43.670337700000005,-79.407117,Burrito Bandidos,43.66662530828417,-79.40552083714118,Burrito Place
59,Annex,43.670337700000005,-79.407117,By the Way Cafe,43.66591829788256,-79.40752980847725,Middle Eastern Restaurant
60,Annex,43.670337700000005,-79.407117,Miles Nadal Jewish Community Centre,43.66651909762614,-79.40387376211667,Gym
61,Annex,43.670337700000005,-79.407117,Famoso Neapolitan Pizzeria,43.66619627664693,-79.40656418036734,Italian Restaurant
62,Annex,43.670337700000005,-79.407117,Krispy Kreme Doughnut Cafe,43.674732,-79.40773,Donut Shop
63,Annex,43.670337700000005,-79.407117,Crêpes à GoGo,43.666609329440774,-79.4040605788033,Creperie
64,Annex,43.670337700000005,-79.407117,Little Piggy's,43.666053,-79.406811,Korean Restaurant
65,Annex,43.670337700000005,-79.407117,ZA Pizzeria,43.665890904658724,-79.40769855113716,Pizza Place
66,Annex,43.670337700000005,-79.407117,The Grapefruit Moon,43.66966012931134,-79.41304823040744,Diner
67,Annex,43.670337700000005,-79.407117,MYMY Chicken,43.66610601324829,-79.40719485282898,Fried Chicken Joint
68,Annex,43.670337700000005,-79.407117,Aka Teppan,43.665979,-79.407231,Bistro
69,Annex,43.670337700000005,-79.407117,Pita Q,43.666579198646446,-79.40420924964927,Falafel Restaurant
70,Annex,43.670337700000005,-79.407117,Future Bistro,43.66585510724644,-79.40757842470467,Bistro
71,Annex,43.670337700000005,-79.407117,Thai Basil Toronto,43.666037534116995,-79.40668084225634,Thai Restaurant
72,Annex,43.670337700000005,-79.407117,Sweet Fantasies,43.66592898367811,-79.40736909169098,Ice Cream Shop
73,Annex,43.670337700000005,-79.407117,St. Louis Bar and Grill,43.66623296658398,-79.40616712835838,Wings Joint
74,Annex,43.670337700000005,-79.407117,Noah's Natural Food,43.666914516444635,-79.4034584375335,Grocery Store
75,Annex,43.670337700000005,-79.407117,The Burger's Priest,43.666037985207765,-79.40791376289752,Fast Food Restaurant
76,Annex,43.670337700000005,-79.407117,Pizzaiolo,43.66658007670739,-79.40430651805302,Pizza Place
77,Annex,43.670337700000005,-79.407117,Subway,43.6659721968295,-79.40707516534292,Sandwich Place
78,Annex,43.670337700000005,-79.407117,Shoppers Drug Mart,43.666562,-79.405007,Pharmacy
79,Annex,43.670337700000005,-79.407117,St Alban's Square,43.668622674904455,-79.41021777537664,Park
80,Annex,43.670337700000005,-79.407117,Sakura,43.66604516022195,-79.40710132985494,Sushi Restaurant
81,Annex,43.670337700000005,-79.407117,Second Cup (Miles Nadal JCC Fitness),43.66652744237173,-79.4038720660735,Coffee Shop
82,Annex,43.670337700000005,-79.407117,Kenzo Japanese Noodle House,43.666295458907825,-79.40600216294874,Ramen Restaurant
83,Annex,43.670337700000005,-79.407117,Al Green Theatre,43.666547416558885,-79.40405281903008,Concert Hall
84,Annex,43.670337700000005,-79.407117,food plus market 24 hrs,43.674514868797786,-79.40713764066462,Grocery Store
85,Annex,43.670337700000005,-79.407117,Jam Van Inc.,43.66595129106045,-79.4069014985394,Food Truck
86,Annex,43.670337700000005,-79.407117,Blast Athletic,43.67406698270812,-79.41042244638588,Gym
87,Banbury-Don Mills,43.75268320000001,-79.36527029999999,Samjung Japanese Restaurant,43.75525099504457,-79.36032313234564,Japanese Restaurant
88,Banbury-Don Mills,43.75268320000001,-79.36527029999999,Petro-Canada,43.753062,-79.359937,Gas Station
89,Banbury-Don Mills,43.75268320000001,-79.36527029999999,Ames Park,43.751867621001765,-79.36547279085646,Park
90,Bathurst Manor,43.76389295,-79.45636693710945,Wilmington Convenience And Produce,43.76492492612054,-79.45508605844655,Convenience Store
91,Bathurst Manor,43.76389295,-79.45636693710945,Chapley Baseball Park,43.76209961275248,-79.45586621215949,Baseball Field
92,Bathurst Manor,43.76389295,-79.45636693710945,Wilmington Park,43.761533640535525,-79.45609146657658,Playground
93,Bathurst Manor,43.76389295,-79.45636693710945,Irving W. Chapley Community Centre  & Park,43.76124725508391,-79.45550910036651,Park
94,Bay Street Corridor,43.672134899999996,-79.39049920000001,Trattoria Nervosa,43.67101871082308,-79.39108133032904,Italian Restaurant
95,Bay Street Corridor,43.672134899999996,-79.39049920000001,Summer's Homemade Ice Cream,43.67090278308464,-79.39229888961067,Ice Cream Shop
96,Bay Street Corridor,43.672134899999996,-79.39049920000001,Four Seasons Hotel Toronto,43.67179643581682,-79.38945690420124,Hotel
97,Bay Street Corridor,43.672134899999996,-79.39049920000001,Paramount Fine Foods,43.67067671443592,-79.38986486034777,Middle Eastern Restaurant
98,Bay Street Corridor,43.672134899999996,-79.39049920000001,Yamato Japanese Restaurant,43.67068330431913,-79.39105580388929,Japanese Restaurant
99,Bay Street Corridor,43.672134899999996,-79.39049920000001,Pi Co.,43.670107,-79.389852,Pizza Place
100,Bay Street Corridor,43.672134899999996,-79.39049920000001,Bloor-Yorkville,43.670214354942,-79.39104696860365,Shopping Mall
101,Bay Street Corridor,43.672134899999996,-79.39049920000001,Catalyst Health,43.670752642604796,-79.39220440276274,Gym / Fitness Center
102,Bay Street Corridor,43.672134899999996,-79.39049920000001,Fiorio Hair Design,43.670169709332704,-79.39140019059467,Cosmetics Shop
103,Bay Street Corridor,43.672134899999996,-79.39049920000001,CHANEL,43.6710538,-79.3923029,Boutique
104,Bay Street Corridor,43.672134899999996,-79.39049920000001,Pusateri's Fine Foods,43.671275167402676,-79.39014235798119,Gourmet Shop
105,Bay Street Corridor,43.672134899999996,-79.39049920000001,The Spa at Four Seasons Hotel Toronto,43.67174021992435,-79.38988924026489,Spa
106,Bay Street Corridor,43.672134899999996,-79.39049920000001,Chabrol,43.67108129272544,-79.39179567701271,French Restaurant
107,Bay Street Corridor,43.672134899999996,-79.39049920000001,Page & Panel: The TCAF Shop,43.67165281613454,-79.38714090280968,Comic Shop
108,Bay Street Corridor,43.672134899999996,-79.39049920000001,Free People,43.67104453842862,-79.39141616572569,Boutique
109,Bay Street Corridor,43.672134899999996,-79.39049920000001,KOKO Share Bar,43.671033938155546,-79.39145701257964,Asian Restaurant
